id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48928538,2 SIDE BY SIDE Homes GULCH/DOWNTOWN!!!!; 16+,14448697,Che,,District 19,36.14956,-86.78979,Entire home/apt,1100,3,3,2021-08-15,1.00,3,155,3,
48935018,4 miles to downtown Nashville!,54122551,Cindy,,District 6,36.17834,-86.717,Entire home/apt,70,30,0,,,2,82,0,
48937881,Eastland Avenue Carriage House,359098142,Kevin,,District 6,36.18408,-86.73933,Entire home/apt,129,2,29,2021-10-19,4.37,1,339,29,
48941879,HUGE BRAND NEW★5 BED 4 BATH★10 BEDS★PRIVATE ROOFTOP★DOWNTOWN VIEWS,43800255,John,,District 21,36.15526,-86.81589,Entire home/apt,681,1,10,2021-09-26,1.88,28,348,10,
48951425,Glamour On The Rocks -  Rooftop Deck in E. Nash!,85360355,StayLocal,,District 2,36.19608,-86.77561,Entire home/apt,420,1,28,2021-09-27,15.56,79,241,28,
48951875,"Kasa Nashville ♫ Pool Access, Great for Families ♫ W/D in Unit",88566861,Kasa,,District 19,36.15705,-86.78895,Entire home/apt,184,10,9,2021-09-25,1.48,2,301,9,
48959267,Rascal Flat ★ Sleeps 10 ★ Built For Fun,192771767,Sheila,,District 5,36.2017,-86.75405,Entire home/apt,355,2,12,2021-09-12,1.85,2,260,12,
48962275,Brand New Music City Dream Minutes from Broadway! Downtown Nashville Skyline Views from Every Floor!,43800255,John,,District 21,36.15571,-86.8157,Entire home/apt,658,1,22,2021-10-19,3.38,28,340,22,
48973972,BRAND NEW★4 BED 4 BATH★14 BEDS★ROOFTOP★HUGE SPACE,115505661,Chris,,District 21,36.15671,-86.81791,Entire home/apt,283,2,25,2021-10-10,10.56,77,323,25,
48973998,Rock n' Row Warehouse ★ HUGE Modern Unique Space ★,18053906,Amy,,District 19,36.14597,-86.79298,Entire home/apt,503,1,13,2021-10-20,4.94,1,349,13,
48976509,BRAND NEW★4 BED 4 BATH★14 BEDS★ROOFTOP★HUGE SPACE,115505661,Chris,,District 21,36.15519,-86.81708,Entire home/apt,283,2,23,2021-10-18,7.42,77,310,23,
48989049,Stay in a place of your own | 2BR in Hermitage,368944610,Carolyn,,District 12,36.17238,-86.59554,Entire home/apt,213,90,0,,,127,365,0,
48994218,◊Cozy Elevator rooftop 4bd/4.5ba 6min2DT 2car par◊,32624016,Jonathan,,District 21,36.15477,-86.820412,Entire home/apt,605,2,15,2021-10-11,2.81,2,341,15,
48995204,"River Cottage on the Cumberland - 10 Mins to Opry & 15 Min to Broadway, Screened in Porch w/River Views",121534901,Andrew,,District 7,36.24316,-86.71002,Entire home/apt,303,3,6,2021-09-06,1.46,37,12,6,
48995560,River Front Charm,396784850,Grand Welcome,,District 19,36.17321,-86.78007,Entire home/apt,104,1,18,2021-09-29,3.02,11,341,18,
48996523,💛💛Updated Walk to ⭐️⭐️BROADWAY  FREE parking!,56574808,Allie,,District 19,36.15534,-86.77022,Entire home/apt,213,1,21,2021-10-11,3.64,5,41,21,
49009360,TWO HUGE BRAND NEW HOMES★10 BED 8 BATH★21+ BEDS★PRIVATE ROOFTOP★DOWNTOWN VIEW,43800255,John,,District 21,36.15658,-86.81731,Entire home/apt,1000,1,2,2021-09-17,0.33,28,341,2,
49012654,Apt of your own | 2BR in Nashville,359230893,Carolyn,,District 22,36.07503,-86.92821,Entire home/apt,172,30,0,,,10,365,0,
49012733,Hot Tub Heaven D @ The Gulch,387161727,Stay,,District 19,36.149921,-86.78595,Entire home/apt,300,1,3,2021-10-04,0.65,6,315,3,
49015225,BOHO Penthouse 3 Blocks from Broadway!,69562152,Scot,,District 19,36.15529,-86.77441,Entire home/apt,179,1,40,2021-10-16,20.34,7,120,40,
49027531,Luxury| Downtown!  BROADWAY Nashville Condo,387932846,Connor,,District 19,36.15593,-86.77581,Entire home/apt,256,1,18,2021-10-19,4.74,1,79,18,
49035581,All-Suite 8th Avenue Getaway with Rooftop Living,106505883,TurnKey Vacation Rentals,,District 17,36.13357,-86.78162,Entire home/apt,215,2,2,2021-10-18,0.62,135,343,2,
49038309,"🐺LUPA ALLURE |""NATURA NUDA"" 2 Blocks from Broadway",106340741,Priscilla & Julian,,District 19,36.154888,-86.775414,Entire home/apt,214,1,22,2021-10-19,4.75,1,151,22,
49043266,Modern Studio at Wyndham Margaritaville Nashville!,395131057,Trevor,,District 19,36.15522,-86.77546,Entire home/apt,127,3,4,2021-06-16,0.61,2,4,4,
49045042,TWO BRAND NEW LUXURY HOMES★SKYLINE VIEWS★28 BEDS!★,115505661,Chris,,District 21,36.15531,-86.8158,Entire home/apt,1206,2,4,2021-09-26,0.64,77,299,4,
49052742,Spacious Retreat with the Best City Views in Town,394878747,Robert,,District 17,36.14449,-86.78535,Entire home/apt,586,2,10,2021-08-23,2.29,1,0,10,
49053711,★NEW DOWNTOWN LUXURY HOME!★11 BEDS!★ROOFTOP DECK!★,115505661,Chris,,District 18,36.13353,-86.80468,Entire home/apt,254,2,12,2021-09-26,3.05,77,352,12,
49054833,"NEW-4 Br/3 Ba unit in Germantown, sleeps up to 8!",53216172,Chip & Jamie,,District 19,36.17859,-86.78913,Entire home/apt,369,2,4,2021-08-01,0.75,5,32,4,
49057300,The Trinity Loft - Condo 4.5 Miles from Downtown!,85360355,StayLocal,,District 5,36.2035,-86.73869,Entire home/apt,117,1,16,2021-10-03,5.05,79,315,16,
49057301,Relax & Recover 3 Blocks from Broadway,69562152,Scot,,District 19,36.15577,-86.77619,Entire home/apt,162,1,46,2021-10-16,7.38,7,158,46,
49057885,HUGE DOWNTOWN HOME W/14 BEDS! GREAT 4 LARGE GROUPS,115505661,Chris,,District 17,36.1302,-86.77891,Entire home/apt,253,2,17,2021-10-17,3.89,77,344,17,
49058288,★LUXURY GULCH HOME!★14 BEDS!★BEST VIEWS IN TOWN!★,115505661,Chris,,District 17,36.14492,-86.78496,Entire home/apt,308,2,21,2021-10-19,4.53,77,329,21,
49058712,ULTRA LUXURY GULCH HOME!★14 BEDS!★PRIME LOCATION!★,115505661,Chris,,District 17,36.14567,-86.78416,Entire home/apt,306,2,18,2021-09-27,18,77,306,18,
49061528,Impressive Nashville Townhouse,293622113,Danielle,,District 2,36.20436,-86.81171,Entire home/apt,629,2,18,2021-10-18,2.98,1,358,18,
49062476,Midcentury Duplex Between Downtown and BNA,15876822,Ashley,,District 13,36.12388,-86.70079,Entire home/apt,75,30,0,,,1,0,0,
49069442,Hotel Preston,267913366,Hotel,,District 13,36.14296243990413,-86.70183812146952,Hotel room,0,1,298,2021-10-19,13.44,1,0,182,
49073393,NEW-7 Br/6 Ba Duplex in Germantown - 14 guests!,53216172,Chip & Jamie,,District 19,36.1804,-86.7894,Entire home/apt,697,2,15,2021-10-17,15,5,0,15,
49074946,Taylor Haus I- Designer Germantown Luxury Sleep 12 in 11 Beds And Walk to ALL,6675690,Isabeau And Shaun,,District 19,36.17984,-86.78751,Entire home/apt,629,3,9,2021-09-12,1.44,67,341,9,
49075321,The Gallatin (Bunk Room 213) 3 miles to Broadway!,115218273,Anchor Rentals,,District 5,36.19461,-86.74418,Private room,230,1,12,2021-10-19,2.34,54,359,12,
49075605,The Gallatin(214) Superhost-STAY HERE CHANGE LIVES,115218273,Anchor Rentals,,District 5,36.19618,-86.74389,Private room,183,1,5,2021-10-02,1.27,54,352,5,
49076191,The Gallatin (215) NEW colorful Boutique Hotel!,115218273,Anchor Rentals,,District 5,36.19636,-86.74326,Private room,208,1,2,2021-10-17,1.46,54,353,2,
49076412,The Gallatin (Bunk Room 216) Airbnb Superhost!,115218273,Anchor Rentals,,District 7,36.19548,-86.74199,Private room,230,1,6,2021-10-17,1.19,54,356,6,
49076589,The Gallatin (217) Hip Neighborhood! Superhost!,115218273,Anchor Rentals,,District 7,36.19542,-86.74192,Private room,208,1,9,2021-10-17,1.75,54,349,9,
49076908,The Gallatin (Economy Full 218) NEW Low Prices!,115218273,Anchor Rentals,,District 7,36.19492,-86.7427,Private room,161,1,14,2021-10-18,2.61,54,0,14,
49077183,The Gallatin (219) Beautiful Deluxe King Room!,115218273,Anchor Rentals,,District 7,36.1957,-86.74254,Private room,234,1,1,2021-09-18,0.86,54,340,1,
49077531,The Donelson Cottage - Monthly Furnished Rental,85360355,StayLocal,,District 14,36.15786,-86.66459,Entire home/apt,80,1,0,,,79,179,0,
49077607,"The Gallatin (311) STAY HERE, CHANGE LIVES!",115218273,Anchor Rentals,,District 7,36.19615,-86.74217,Private room,194,1,5,2021-10-02,0.94,54,348,5,
49077755,The Gallatin (312) Hip Neighborhood! Superhost!,115218273,Anchor Rentals,,District 7,36.1942,-86.74235,Private room,208,1,3,2021-08-08,0.58,54,352,3,
49080062,Farmhouse Bungalow - Secluded yet minutes to Nash,46811105,Tesha,,District 8,36.21876,-86.74099,Entire home/apt,99,30,7,2021-08-01,1.81,1,8,7,
49080608,💃🏻 WALK to Broadway. NASHVEGAS PENTHOUSE w/POOL,50084134,Laurel,,District 19,36.15461,-86.77616,Entire home/apt,426,2,30,2021-10-04,19.15,2,155,30,
49090533,"NEW-3 Br/3 Ba unit in Germantown, sleeps up to 6!",53216172,Chip & Jamie,,District 19,36.18045,-86.78849,Entire home/apt,369,2,4,2021-08-01,0.75,5,32,4,
49093668,Amazing Hotel Room with great Amenities/Gym,380927421,Hillside,,District 15,36.1369,-86.72393,Private room,94,1,26,2021-09-30,3.98,28,175,26,
49093887,***Newly Renovated Hotel with Large Gym & Pub***,380927421,Hillside,,District 15,36.13584,-86.7239,Private room,94,1,20,2021-09-30,7.89,28,172,20,
49094642,The Gallatin (Economy Full 313) Close to Downtown!,115218273,Anchor Rentals,,District 5,36.19637,-86.74368,Private room,163,1,11,2021-10-09,2.14,54,352,11,
49095057,The Gallatin (Bunk Room 314) NEW Boutique Hotel!,115218273,Anchor Rentals,,District 5,36.19473,-86.74373,Private room,230,1,5,2021-10-02,1.03,54,362,5,
49095329,Recording Studio/Guest Bedroom,233009628,Ryan,,District 9,36.26823,-86.69422,Private room,75,2,0,,,1,363,0,
49095335,The Gallatin (315) Only 3 miles to Broadway!,115218273,Anchor Rentals,,District 7,36.19431,-86.74332,Private room,183,1,4,2021-08-29,1.02,54,349,4,
49095452,The Gallatin (316)Superhost-STAY HERE CHANGE LIVES,115218273,Anchor Rentals,,District 5,36.19465,-86.74357,Private room,208,1,3,2021-09-19,0.59,54,355,3,
49095580,The Gallatin (319) SUPERHOST-Close to Downtown!,115218273,Anchor Rentals,,District 5,36.19471,-86.74337,Private room,208,1,5,2021-10-10,0.94,54,353,5,
49095632,The Gallatin (Bunk Room 317) Close to Downtown!,115218273,Anchor Rentals,,District 7,36.19428,-86.74254,Private room,230,1,5,2021-09-26,3.66,54,360,5,
49095707,The Gallatin (Economy Full 318) 3 miles 2 Broadway,115218273,Anchor Rentals,,District 7,36.196,-86.74217,Private room,163,1,18,2021-10-17,3.38,54,355,18,
49095792,The Gallatin (320) New Colorful Boutique Hotel!,115218273,Anchor Rentals,,District 5,36.19399,-86.74406,Private room,234,1,10,2021-10-17,1.88,54,351,10,
49101528,The BlueBell = An Essential East Nashville getaway,396026930,Michael,,District 5,36.20548,-86.75377,Entire home/apt,206,2,33,2021-10-19,5.93,1,84,33,
49105822,A place of your own | 1BR in Nashville,368944610,Carolyn,,District 30,36.07873,-86.72371,Entire home/apt,175,90,0,,,127,365,0,
49105837,Brilliant apartment home | 1BR in Nashville,368944610,Carolyn,,District 26,36.05735,-86.7471,Entire home/apt,189,90,0,,,127,365,0,
49112766,Beautiful Sophisticated Boutique A,206929251,DeRon,,District 21,36.16329,-86.80628,Entire home/apt,399,2,11,2021-10-05,1.82,18,335,11,
49116222,★ Just 2Mi From Broadway! ★ Gorgeously Appointed Townhome ★ 2 Car Garage,396134863,Megan,,District 17,36.13057,-86.77968,Entire home/apt,1947,2,2,2021-04-18,0.31,1,361,2,
49125649,1 BR Suite by the Grand Ole Opry Nashville!,395131057,Trevor,,District 15,36.22144,-86.70597,Entire home/apt,95,3,17,2021-10-02,2.79,2,2,17,
49129787,MID TOWN HAVEN- PRIVATE DECK- 6 MINS TO BROADWAY,20772148,GoodNight,,District 21,36.14614,-86.8164,Entire home/apt,515,1,17,2021-10-14,2.93,32,160,17,
49129788,MID TOWN OASIS - HUGE LAYOUT - PRIVATE ROOF DECK,20772148,GoodNight,,District 21,36.14517,-86.81591,Entire home/apt,693,1,13,2021-09-16,3.36,32,158,13,
49131179,❤ WALK TO BROADWAY-DOWNTOWN-KING BED-GYM- PARKING❤,68886130,Lisa,,District 19,36.15424,-86.77527,Entire home/apt,144,1,42,2021-09-21,9.06,4,85,42,
