SOLD DATE,Street,CITY,Zipcode,PRICE,Bedroom_x,Bathroom_x,sqft_x,Latitude,Longitude,Address,Price,Bedroom_y,Bathroom_y,sqft_y,Sold,latitude,longitude,City
January-22-2021,917 Spence Enclave Ct,Nashville,37210.0,249600.0,3.0,2.5,1450.0,36.153518,-86.71933,,,,,,,,,
January-22-2021,917 Spence Enclave Ct,Nashville,37210.0,249600.0,3.0,2.5,1450.0,36.153518,-86.71933,,,,,,,,,
September-27-2021,620 Copper Ridge Trl,Antioch,37013.0,502000.0,5.0,4.0,4023.0,36.0349735,-86.6810366,,,,,,,,,
September-27-2021,620 Copper Ridge Trl,Antioch,37013.0,502000.0,5.0,4.0,4023.0,36.0349735,-86.6810366,,,,,,,,,
March-4-2021,4016 Outer Dr,Nashville,37204.0,1792500.0,5.0,5.5,4753.0,36.1021812,-86.7823823,,,,,,,,,
March-4-2021,4016 Outer Dr,Nashville,37204.0,1792500.0,5.0,5.5,4753.0,36.1021812,-86.7823823,,,,,,,,,
July-8-2021,3567 Gondola Dr,Antioch,37013.0,200000.0,2.0,1.5,1152.0,36.082916,-86.600048,,,,,,,,,
July-8-2021,3567 Gondola Dr,Antioch,37013.0,200000.0,2.0,1.5,1152.0,36.082916,-86.600048,,,,,,,,,
April-15-2021,3916 W Valley Dr,Nashville,37211.0,255000.0,3.0,1.0,1231.0,36.0682006,-86.7009765,,,,,,,,,
April-15-2021,3916 W Valley Dr,Nashville,37211.0,255000.0,3.0,1.0,1231.0,36.0682006,-86.7009765,,,,,,,,,
October-28-2021,200 Tuckahoe Sq W,Nashville,37207.0,271200.0,6.0,2.0,1911.0,36.2599163,-86.7661277,,,,,,,,,
October-28-2021,200 Tuckahoe Sq W,Nashville,37207.0,271200.0,6.0,2.0,1911.0,36.2599163,-86.7661277,,,,,,,,,
November-1-2021,8057 Brockman Ln,Nashville,37211.0,515000.0,3.0,2.5,2652.0,36.0198269,-86.6926738,,,,,,,,,
November-1-2021,8057 Brockman Ln,Nashville,37211.0,515000.0,3.0,2.5,2652.0,36.0198269,-86.6926738,,,,,,,,,
January-19-2021,855 S Douglas Ave,Nashville,37204.0,367000.0,2.0,2.5,1116.0,36.130903,-86.779889,,,,,,,,,
January-19-2021,855 S Douglas Ave,Nashville,37204.0,367000.0,2.0,2.5,1116.0,36.130903,-86.779889,,,,,,,,,
November-9-2021,214 Old Hickory Blvd #144,Nashville,37221.0,201500.0,2.0,1.5,1116.0,36.0821309,-86.916924,,,,,,,,,
November-9-2021,214 Old Hickory Blvd #144,Nashville,37221.0,201500.0,2.0,1.5,1116.0,36.0821309,-86.916924,,,,,,,,,
February-23-2021,1023 Treaty Oaks Dr,Nashville,37209.0,405000.0,3.0,3.0,1500.0,36.162335,-86.8594041,,,,,,,,,
February-23-2021,1023 Treaty Oaks Dr,Nashville,37209.0,405000.0,3.0,3.0,1500.0,36.162335,-86.8594041,,,,,,,,,
December-29-2020,8008 Poplarwood Rd,Nashville,37221.0,490000.0,3.0,3.0,2959.0,36.0560711,-86.9723611,,,,,,,,,
December-29-2020,8008 Poplarwood Rd,Nashville,37221.0,490000.0,3.0,3.0,2959.0,36.0560711,-86.9723611,,,,,,,,,
February-11-2021,218 Rising Sun Ter,Old Hickory,37138.0,615000.0,5.0,3.0,3500.0,36.2384041,-86.6123848,,,,,,,,,
February-11-2021,218 Rising Sun Ter,Old Hickory,37138.0,615000.0,5.0,3.0,3500.0,36.2384041,-86.6123848,,,,,,,,,
February-26-2021,106 Spero Rd,Goodlettsville,37072.0,260000.0,3.0,2.0,1700.0,36.2894108,-86.7270395,,,,,,,,,
February-26-2021,106 Spero Rd,Goodlettsville,37072.0,260000.0,3.0,2.0,1700.0,36.2894108,-86.7270395,,,,,,,,,
September-15-2021,2504 Mcginnis Dr,Nashville,37216.0,375000.0,4.0,2.0,1920.0,36.2005087,-86.7012057,,,,,,,,,
September-15-2021,2504 Mcginnis Dr,Nashville,37216.0,375000.0,4.0,2.0,1920.0,36.2005087,-86.7012057,,,,,,,,,
September-28-2021,8207 Sawyer Brown Rd Unit G2,Nashville,37221.0,245000.0,2.0,1.5,1152.0,36.0750471,-86.9479915,,,,,,,,,
September-28-2021,8207 Sawyer Brown Rd Unit G2,Nashville,37221.0,245000.0,2.0,1.5,1152.0,36.0750471,-86.9479915,,,,,,,,,
November-18-2021,1723 Red Jacket Dr,Antioch,37013.0,275000.0,2.0,2.5,1224.0,36.0317122,-86.705626,,,,,,,,,
November-18-2021,1723 Red Jacket Dr,Antioch,37013.0,275000.0,2.0,2.5,1224.0,36.0317122,-86.705626,,,,,,,,,
April-7-2021,3033 Summercrest Trl,Antioch,37013.0,345000.0,4.0,2.5,2688.0,36.0457956,-86.6215229,,,,,,,,,
April-7-2021,3033 Summercrest Trl,Antioch,37013.0,345000.0,4.0,2.5,2688.0,36.0457956,-86.6215229,,,,,,,,,
May-27-2021,8268 Tapoco Ln,Brentwood,37027.0,450000.0,3.0,2.5,2392.0,36.008656,-86.690343,,,,,,,,,
May-27-2021,8268 Tapoco Ln,Brentwood,37027.0,450000.0,3.0,2.5,2392.0,36.008656,-86.690343,,,,,,,,,
April-30-2021,1241 Lighthouse Pl,Brentwood,37027.0,558000.0,4.0,2.5,2833.0,36.021572,-86.7499228,,,,,,,,,
April-30-2021,1241 Lighthouse Pl,Brentwood,37027.0,558000.0,4.0,2.5,2833.0,36.021572,-86.7499228,,,,,,,,,
April-30-2021,212 Hillsboro Pl,Nashville,37215.0,312000.0,2.0,2.0,1204.0,36.1209107,-86.8054234,,,,,,,,,
April-30-2021,212 Hillsboro Pl,Nashville,37215.0,312000.0,2.0,2.0,1204.0,36.1209107,-86.8054234,,,,,,,,,
December-18-2020,1103 Woodbury Falls Ct,Nashville,37221.0,298900.0,3.0,3.0,1977.0,36.088537,-86.921953,,,,,,,,,
December-18-2020,1103 Woodbury Falls Ct,Nashville,37221.0,298900.0,3.0,3.0,1977.0,36.088537,-86.921953,,,,,,,,,
August-16-2021,1810 Fatherland St,Nashville,37206.0,595000.0,3.0,1.5,1488.0,36.1727483,-86.7376102,,,,,,,,,
