id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24000632,The East Nashville Alley Road Cottage Minutes from Broadway,85689123,Pedro,,District 6,36.16996,-86.74164,Entire home/apt,200,1,183,2021-01-12,5.52,2,267
24001784,Stay at a brand new apartment in Nashville,300915,Amad,,District 22,36.0812,-86.9479,Entire home/apt,110,1,9,2018-06-11,0.24,1,0
24009969,Cozy Modern Home - Minutes from all the action!,180680956,Patrick & Tiffany,,District 26,36.07897,-86.73809,Entire home/apt,255,2,33,2020-03-16,0.89,1,0
24015918,East Nashville 2-Story Private Guesthouse,167091590,Vicki,,District 6,36.17506,-86.74047,Entire home/apt,200,2,78,2020-11-02,2.12,1,73
24021874,Simple walk to Broadway!!!!,180795550,Adam,,District 19,36.1691,-86.78201,Entire home/apt,30,1,88,2019-04-26,2.39,2,0
24035042,★ AMAZING ROOFTOP ★ MUSIC CITY STUNNER,101426897,Host Extraordinaires,,District 17,36.14495,-86.78444,Entire home/apt,377,2,100,2021-04-05,2.71,147,174
24043615,Best Location! Walk to Midtown Bars/Restaurants!,60934272,Travers,,District 19,36.14899,-86.796,Entire home/apt,188,1,186,2020-10-23,5.05,25,206
24043681,Location! Trendy Music Row + Midtown Apt ✹,60934272,Travers,,District 19,36.14924,-86.7956,Entire home/apt,192,1,153,2020-08-01,4.24,25,111
24057432,1 BR Condo Close to Everything,11332567,Kevin,,District 17,36.12512,-86.77717,Entire home/apt,280,1,2,2018-04-29,0.05,1,0
24060405,STUDIO ON MUSIC ROW!,101426897,Host Extraordinaires,,District 19,36.15169,-86.79094,Entire home/apt,120,2,96,2021-04-05,2.59,147,328
24065079,Shelby Park Bungalow,739537,Sophie And Carwil,,District 6,36.18255,-86.72603,Private room,34,30,2,2019-11-01,0.06,1,0
24076005,Cottage Home Mins to Downtown! W/D & Free Parking!,178293796,Studio I,,District 17,36.12865,-86.76025,Entire home/apt,139,30,45,2020-06-01,1.23,4,252
24080943,"Spacious, Comfortable house near Five Points",14907259,Tom,,District 5,36.18007,-86.75917,Entire home/apt,225,2,7,2019-10-06,0.20,2,0
24086570,Stay Awhile in East Nashville ❤️ Dog-Friendly,24637373,Megan,,District 5,36.18478,-86.75193,Entire home/apt,125,30,8,2020-11-21,0.23,6,263
24094071,"Cozy East Nashville Home, 7 minutes to Downtown",22770966,Ryan,,District 5,36.20696,-86.75541,Entire home/apt,113,1,175,2021-04-20,4.77,1,270
24117508,A great view of Vanderbilt Campus and Nashville!,30868859,Moheb,,District 19,36.14826,-86.79676,Entire home/apt,68,15,2,2018-09-30,0.06,1,0
24136182,CUTIE HOME ANTIOCH       #2019023052,180654542,Chris,,District 32,36.07078,-86.64831,Private room,45,1,91,2021-04-19,2.75,1,179
24159620,Downtown Riverside Condo! PRMT 2/0/1/8/0/2/0/3/6/7,14573386,Amanda,,District 19,36.17513,-86.78129,Entire home/apt,111,1,119,2020-03-08,3.31,1,20
24162363,East Nashville Guest Suite,35082769,Jamia,,District 5,36.20829,-86.76322,Private room,65,2,131,2021-04-11,3.70,1,0
24177810,Downtown Nashville Condo Near ALL the Honky Tonks,164277636,Brooke,,District 19,36.154,-86.77089,Entire home/apt,184,2,171,2021-04-16,4.83,1,89
24186803,Fun Apt in Midtown - Walk to restaurants! #302,49521731,Ashley,,District 17,36.13823,-86.7951,Entire home/apt,95,2,131,2021-04-03,3.56,20,133
