id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41531593,Wedgewood-Houston Side by Side Units Sleep 58,303894881,Music City Vacation Homes,,District 17,36.14233,-86.76108,Entire home/apt,2400,2,1,2021-02-14,0.22,27,263
41534078,MUSIC CITY MEGA HOUSE★2 HOMES★SLEEPS 24★CITY VIEWS,2442207,Stephen,,District 21,36.15474,-86.82047,Entire home/apt,1229,2,6,2021-06-18,0.64,8,287
41535996,NashvilleVibe 7 ~ 4 Private Custom Suites ~ Walk to Brewery ~ 4 Miles to Downtown ~ Double Garage,260899725,Kevin,,District 5,36.20459,-86.74336,Entire home/apt,277,3,13,2021-06-05,0.79,38,97
41552597,The Wells *NEW Spacious Townhome Near Downtown* #B,312585112,Nash,,District 17,36.12137,-86.76698,Entire home/apt,288,2,7,2020-06-14,0.42,21,321
41553375,The Wells *NEW Spacious Townhome Near Downtown* #C,312585112,Nash,,District 17,36.12082,-86.76558,Entire home/apt,341,3,14,2021-06-01,0.85,21,268
41553993,The Wells *NEW Spacious Townhome Near Downtown* #E,312585112,Nash,,District 17,36.12083,-86.76721,Entire home/apt,341,3,15,2021-05-16,0.92,21,268
41554289,The Wells *NEW Spacious Townhome Near Downtown* #D,312585112,Nash,,District 17,36.11977,-86.76733,Entire home/apt,268,3,14,2021-06-13,0.84,21,342
41554778,Your Nashville Home,104292073,Tim,,District 16,36.11085,-86.73034,Entire home/apt,81,30,1,2021-05-01,0.52,2,303
41555187,The Scott Suite - Modern and Close to Restaurants!,85360355,StayLocal,,District 6,36.19111,-86.73396,Entire home/apt,132,1,6,2020-03-15,0.35,76,176
41556676,NASH! Perfect Location w/ Great Views of Downtown,67280137,1043,,District 17,36.14498,-86.78401,Entire home/apt,549,2,23,2021-05-02,1.33,1,283
41558803,Chic Riverfront Downtown Condo,6529122,Elise,,District 19,36.1717,-86.78075,Entire home/apt,144,2,47,2021-06-24,2.87,3,303
41562015,★PROSPER★Private Master Bd/Bth-Rooftop-1.2m to DT,72156,Adam,,District 19,36.17191,-86.79675,Private room,50,2,3,2020-09-10,0.23,7,0
41564194,"Club Wyndham Nashville, Tennessee, 2 Bedroom Condo",194953121,Christian,,District 15,36.21938,-86.7056,Entire home/apt,180,2,0,,,56,0
41564610,"Commodious Club Wyndham Nashville, 2 Bedroom Condo",194953121,Christian,,District 15,36.21971,-86.70455,Entire home/apt,180,4,0,,,56,0
41583336,⭐️Cozy & Comfy Apartment Near Downtown Nashville⭐️,205078166,Karen,,District 19,36.14999,-86.72356,Entire home/apt,119,1,76,2021-06-14,6.13,5,77
41585373,♦️Cozy Group Retreat Minutes To Downtown Nashville♦️,205078166,Karen,,District 19,36.15149,-86.72255,Entire home/apt,140,1,89,2021-06-13,5.57,5,184
