id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14548661,Elliston House #6,7894194,Heirbnb,,District 21,36.151,-86.80428,Entire home/apt,96,1,321,2021-08-01,5.67,18,334,44,
14553716,Mi Casa Sue Casa: Private Entrance + Ensuite Bath,2261799,Susan,,District 5,36.18269,-86.75946,Private room,100,1,321,2021-08-06,7.89,2,28,68,
14555251,Mi Casa Sue Casa: East Nashville Private Entrance,2261799,Susan,,District 5,36.18298,-86.7578,Private room,100,2,289,2021-08-05,7.24,2,27,82,
14562094,Huge Sylvan Park Stunner - Minutes to Downtown,30142934,Emelia,,District 24,36.14043,-86.82965,Entire home/apt,475,3,23,2018-11-24,0.48,1,0,0,
14568102,Private room and bathroom- For long stay only,90240194,Jen,,District 4,36.01889,-86.72274,Private room,36,31,19,2021-08-15,0.39,1,311,2,
14627429,2 Bedrm AWESOME Location Close to Vandy & Belmont,6855810,UrbanNashville,,District 18,36.12585,-86.80354,Entire home/apt,135,30,27,2021-04-04,0.45,57,150,1,
14648905,Perfect House In The Heart of Music City,90836294,Donald,,District 17,36.136,-86.76785,Entire home/apt,254,2,199,2021-08-05,3.38,1,265,32,
14664334,Stellar East Nashville Home,89846619,Molly,,District 5,36.20866,-86.76242,Entire home/apt,187,1,307,2021-08-15,8.96,2,79,53,
14692027,Mid Century Music Row -  8 MINS TO DOWNTOWN!,15586733,Neal,,District 19,36.14728,-86.78939,Entire home/apt,569,3,112,2021-08-08,1.94,18,180,15,
14692765,#Views! 3 miles to Broadway! Private balconies!,36393087,Allison,,District 2,36.19634,-86.77735,Entire home/apt,255,3,61,2021-08-08,9.63,4,342,24,
14693200,Explore 12 South from an Enchanting Cottage,2012989,Tim & Suzy,,District 18,36.12645,-86.79149,Entire home/apt,147,2,150,2021-07-31,4.28,3,274,12,
14696060,New Luxury East Nashville Townhouse,91390810,David,,District 5,36.19403,-86.75694,Entire home/apt,244,2,125,2021-08-15,5.89,2,295,21,
14711854,Walk to Downtown Nashville & Broadway!,4910520,Amy,,District 19,36.17451,-86.78171,Entire home/apt,213,1,210,2021-08-05,5.93,3,319,34,
14728712,Queen Studio Close to Amenities and Hospitals,44039875,Davina And Andrew,,District 19,36.17071,-86.79612,Entire home/apt,150,2,53,2021-03-28,1.08,6,0,1,
14740890,Cottage-Like Setting near Vanderbilt/Lipscomb,14036488,Stuart,,District 25,36.09985,-86.79993,Entire home/apt,306,2,263,2021-08-08,4.50,1,73,41,
14746042,The Wagon Wheel House in Sylvan Heights,51921113,Barbara,,District 24,36.1499,-86.82574,Entire home/apt,127,3,101,2021-08-17,2.67,1,302,19,
