Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"301 Demonbreun St UNIT 1101, Nashville, TN 37201","$360,000",1,1,616,Sold 09/02/2021
"1210 Vultee Blvd, Nashville, TN 37217","$305,000",3,2,"1,506",Sold 09/02/2021
"707 S 15th St, Nashville, TN 37206","$385,000",3,1,"1,060",Sold 08/27/2021
"2205 Weona Dr, Nashville, TN 37214","$211,000",2,1,792,Sold 08/27/2021
"307 Finley Dr, Nashville, TN 37217","$275,000",3,1,975,Sold 08/27/2021
"2620 Malden Dr, Nashville, TN 37210","$275,000",4,1,"1,446",Sold 08/27/2021
"949 Coarsey Dr, Nashville, TN 37217","$105,000",1,1,777,Sold 08/27/2021
"301 Demonbreun St UNIT 706, Nashville, TN 37201","$518,950",1,1,837,Sold 08/27/2021
"724 Spence Enclave Ln, Nashville, TN 37210","$295,000",3,3,"1,770",Sold 08/27/2021
"3216 Wingate Ave, Nashville, TN 37211","$290,500",3,2,"1,581",Sold 08/27/2021
"136 Dodge Dr, Nashville, TN 37210","$300,900",2,1,975,Sold 08/27/2021
"3104 Lake Park Dr, Nashville, TN 37211","$335,000",3,2,"1,600",Sold 08/24/2021
"1418 Winthorne Dr, Nashville, TN 37217","$302,200",3,2,"1,589",Sold 08/24/2021
"920 Shauna Dr, Nashville, TN 37214","$409,900",2,2,"1,479",Sold 08/23/2021
"895 Connelly Dr, Nashville, TN 37217","$335,000",3,2,"1,178",Sold 08/23/2021
"253 Lisa Ln, Nashville, TN 37210","$440,000",--,--,"2,790",Sold 08/23/2021
"1512 Woodland St, Nashville, TN 37206","$775,000",3,4,"2,128",Sold 08/23/2021
"2549 Hibbitts Rd, Nashville, TN 37214","$290,000",3,1,"1,000",Sold 08/23/2021
"1304 Woodland St, Nashville, TN 37206","$680,000",2,2,"1,767",Sold 08/23/2021
"4821 Aster Dr, Nashville, TN 37211","$340,000",--,--,"2,771",Sold 08/23/2021
"506 S 12th St, Nashville, TN 37206","$461,000",2,2,"1,104",Sold 08/19/2021
"2813 Windemere Dr, Nashville, TN 37214","$553,125",6,4,"4,400",Sold 08/19/2021
"1226 Currey Rd, Nashville, TN 37217","$350,000",3,3,"1,950",Sold 08/19/2021
"2811 Blue Brick Dr, Nashville, TN 37214","$285,000",3,1,"1,436",Sold 08/19/2021
"3425 Pleasant Valley Rd, Nashville, TN 37204","$260,000",--,--,--,Sold 08/18/2021
"915 Goodbar Dr, Nashville, TN 37217","$312,000",2,2,"1,102",Sold 08/18/2021
"65 Scobey Dr, Nashville, TN 37210","$310,000",2,1,"1,173",Sold 08/18/2021
"1613 Franklin Ave, Nashville, TN 37206","$600,000",4,2,"1,808",Sold 08/18/2021
"418 Glengarry Dr, Nashville, TN 37217","$390,000",3,3,"1,862",Sold 08/18/2021
"145 Gale Park Ln, Nashville, TN 37204","$475,000",3,3,"1,404",Sold 08/13/2021
"922 Dalebrook Ln, Nashville, TN 37206","$408,000",3,2,"1,480",Sold 08/13/2021
"1119 3rd Ave S, Nashville, TN 37210","$550,000",2,2,"1,320",Sold 08/12/2021
"818 Ramsey St, Nashville, TN 37206","$520,000",3,2,"1,601",Sold 08/12/2021
"1212 Ainlay Dr, Nashville, TN 37217","$275,000",3,1,888,Sold 08/12/2021
"303 Neill Ave, Nashville, TN 37206","$357,500",2,2,"1,033",Sold 08/12/2021
"1502 Electric Ave, Nashville, TN 37206","$965,000",4,4,"3,188",Sold 08/12/2021
"2800 Ennis Rd, Nashville, TN 37210","$530,000",3,3,"2,216",Sold 08/12/2021
"242 Sunrise Ave, Nashville, TN 37211","$460,000",3,2,"1,595",Sold 08/12/2021
"1007 Dew St, Nashville, TN 37206","$532,000",3,3,"1,880",Sold 08/06/2021
"2565 Stinson Rd, Nashville, TN 37214","$353,000",3,2,"1,152",Sold 08/06/2021
"931 Allen Rd, Nashville, TN 37214","$267,500",4,4,"1,982",Sold 08/06/2021
"415 Church St APT 1512, Nashville, TN 37219","$668,000",2,2,"1,083",Sold 08/06/2021
"301 Demonbreun St UNIT 1307, Nashville, TN 37201","$384,900",1,1,720,Sold 08/06/2021
"221 Copley Ln, Nashville, TN 37204","$562,500",3,3,"1,620",Sold 08/06/2021
"3423 Shelby Bottoms Bnd, Nashville, TN 37206","$668,715",4,4,"2,794",Sold 08/06/2021
"3400 Shelby Bottoms Bnd, Nashville, TN 37206","$445,000",3,3,"1,436",Sold 08/06/2021
"2952 Jenry Dr, Nashville, TN 37214","$527,000",4,4,"2,879",Sold 08/06/2021
"3026 Whitland Crossing Dr, Nashville, TN 37214","$333,000",3,3,"1,790",Sold 08/03/2021
"800 S 12th St, Nashville, TN 37206","$375,000",3,2,"1,275",Sold 08/03/2021
"515 Fairlane Dr, Nashville, TN 37211","$295,000",3,1.5,"1,281",Sold 08/03/2021
"2909-2909B Lakeland Dr, Nashville, TN 37214","$335,000",3,2,"1,484",Sold 08/02/2021
"2319-2319B Carter Ave, Nashville, TN 37206","$749,900",4,4,"3,009",Sold 08/02/2021
"729 Currey Rd, Nashville, TN 37217","$267,000",3,3,"2,436",Sold 08/02/2021
"1809 Neal Ter, Nashville, TN 37203","$445,000",3,1,"1,246",Sold 08/02/2021
"954 Colfax Dr, Nashville, TN 37214","$505,000",5,3,"2,825",Sold 08/02/2021
"2312 Revere Pl, Nashville, TN 37214","$565,000",5,3,"3,414",Sold 08/02/2021
"3505-3505A Mays St, Nashville, TN 37211","$325,000",3,1,"1,109",Sold 07/28/2021
"1512-1512B Boscobel St, Nashville, TN 37206","$660,000",3,3,"2,335",Sold 07/28/2021
"3017 Windemere Cir, Nashville, TN 37214","$425,000",3,2,"2,021",Sold 07/28/2021
"3323 Goodland Rd, Nashville, TN 37211","$505,000",3,3,"1,301",Sold 07/28/2021
"306 Honeyhill Dr, Nashville, TN 37217","$352,500",3,3,"1,885",Sold 07/28/2021
"3505 Mays St, Nashville, TN 37211","$325,000",3,1,"1,109",Sold 07/28/2021
"415 Church St APT 1006, Nashville, TN 37219","$410,000",1,1,741,Sold 07/28/2021
"806 Meridian St, Nashville, TN 37207","$555,000",6,4,"1,800",Sold 07/28/2021
"26 N Hill St, Nashville, TN 37210","$595,000",3,3.5,"2,472",Sold 07/28/2021
"245 Antioch Pike, Nashville, TN 37211","$345,000",2,2,"1,140",Sold 08/02/2021
