Address,Price,Bedroom,Bathroom,sqft,list-card-variable-text
"3912 Plantation Dr, Hermitage, TN 37076","$235,000",3,2,"1,771",Sold 08/23/2021
"608 Ward Cir, Old Hickory, TN 37138","$740,000",4,4,"4,038",Sold 08/23/2021
"741 Stone Hedge Dr, Old Hickory, TN 37138","$296,000",3,2,"1,309",Sold 08/23/2021
"408 Stoner Creek Ct, Hermitage, TN 37076","$350,000",4,2,"1,624",Sold 08/20/2021
"212 Montchanin Rd, Old Hickory, TN 37138","$489,000",4,3,"2,324",Sold 08/02/2021
"2416 Pleasant Springs Ln, Hermitage, TN 37076","$360,000",3,3,"1,411",Sold 08/02/2021
"1456 Station Four Ln, Old Hickory, TN 37138","$500,000",4,4,"3,591",Sold 08/02/2021
"4226 Andrew Jackson Pkwy, Hermitage, TN 37076","$625,000",5,4,"2,001",Sold 08/02/2021
"4106-4106A Church St, Old Hickory, TN 37138","$345,000",3,3,"1,751",Sold 08/01/2021
"212 Montchanin Dr, Old Hickory, TN 37138","$489,000",4,3,"2,415",Sold 07/30/2021
"425 Bonnawood Ct, Hermitage, TN 37076","$358,900",5,2,"2,250",Sold 07/30/2021
"657 Mercer Dr, Hermitage, TN 37076","$385,000",4,3,"1,700",Sold 07/30/2021
"5225 Southfork Blvd, Old Hickory, TN 37138","$308,500",3,3,"1,810",Sold 07/30/2021
"3826 Plantation Dr, Hermitage, TN 37076","$201,000",2,2,"1,025",Sold 07/13/2021
"2228 Crescent Valley Ln, Hermitage, TN 37076","$365,000",3,3,"1,850",Sold 07/13/2021
"5012 Southfork Blvd UNIT 17, Old Hickory, TN 37138","$269,900",2,3,"1,578",Sold 07/12/2021
"4321 Brackenwood Dr, Old Hickory, TN 37138","$301,425",3,2,"1,447",Sold 07/12/2021
"641 Kings Way Dr, Old Hickory, TN 37138","$415,000",4,3,"2,229",Sold 07/12/2021
"1312 Hale Pl, Old Hickory, TN 37138","$725,000",5,6,"4,650",Sold 07/12/2021
"206 Brooke Castle Dr, Hermitage, TN 37076","$132,000",2,2,"1,073",Sold 07/09/2021
"602 Hadleys Bend Blvd, Old Hickory, TN 37138","$220,000",3,2,"1,084",Sold 07/08/2021
"605 Ellis Ct, Old Hickory, TN 37138","$300,000",3,2,"1,400",Sold 07/08/2021
"406 N Cameron Ct, Hermitage, TN 37076","$350,000",3,3,"1,892",Sold 06/18/2021
"4840 Shasta Dr, Old Hickory, TN 37138","$271,500",3,2,"1,200",Sold 06/18/2021
"4700 Ashley Way, Hermitage, TN 37076","$260,000",3,2,"1,008",Sold 06/18/2021
"2408 Pleasant Springs Ln, Hermitage, TN 37076","$318,000",3,3,"1,464",Sold 06/17/2021
"410 N Cameron Ct, Hermitage, TN 37076","$312,000",3,3,"1,512",Sold 06/16/2021
"813 Oak Leaf Dr, Old Hickory, TN 37138","$234,900",3,2,"1,600",Sold 06/11/2021
"515 Debbie Dr, Hermitage, TN 37076","$200,000",3,2,"1,326",Sold 06/11/2021
"1148 Dawnwood Dr, Old Hickory, TN 37138","$285,000",3,2,"1,496",Sold 06/11/2021
"1440 Aaronwood Dr, Old Hickory, TN 37138","$316,540",3,2,"1,406",Sold 06/10/2021
"513 Debbie Dr, Hermitage, TN 37076","$195,000",3,2,"1,326",Sold 05/28/2021
"4557 Woodside Cir, Old Hickory, TN 37138","$332,500",4,2,"1,800",Sold 05/28/2021
"1820 Woodland Farms Ct, Old Hickory, TN 37138","$459,000",5,3,"3,168",Sold 05/28/2021
"313 Shute Ln, Old Hickory, TN 37138","$500,100",4,3,"3,451",Sold 05/28/2021
"703 Tulip Grove Rd, Hermitage, TN 37076","$325,000",4,1.5,"2,737",Sold 05/27/2021
"107 Prentiss Dr, Old Hickory, TN 37138","$190,550",3,1,"1,000",Sold 05/27/2021
"1632 Aaronwood Dr, Old Hickory, TN 37138","$283,650",3,2,"1,196",Sold 05/27/2021
"189 Brooke Castle Dr, Hermitage, TN 37076","$175,000",2,2,"1,073",Sold 05/27/2021
"4543 Baton Rouge Dr, Hermitage, TN 37076","$329,000",--,--,"3,000",Sold 05/27/2021
"5162 Southfork Blvd, Old Hickory, TN 37138","$260,000",3,2.5,"1,714",Sold 05/12/2021
"4731 Kalamath Dr, Old Hickory, TN 37138","$338,000",3,2,"1,834",Sold 05/11/2021
"520 Tulip Grove Rd, Hermitage, TN 37076","$265,000",3,2,"2,000",Sold 05/10/2021
"7043 Bonnavent Dr, Hermitage, TN 37076","$250,000",4,2,"1,491",Sold 05/08/2021
"721 Netherlands Dr, Hermitage, TN 37076","$255,000",3,2,"1,144",Sold 05/07/2021
"4856 Big Horn Dr, Old Hickory, TN 37138","$308,203",3,2,"1,797",Sold 05/07/2021
"1452 Aaronwood Dr, Old Hickory, TN 37138","$325,000",3,2,"1,651",Sold 05/06/2021
"131 Park Cir, Old Hickory, TN 37138","$200,000",2,1,844,Sold 05/06/2021
"136 Brooke Castle Dr, Hermitage, TN 37076","$142,500",--,--,--,Sold 05/05/2021
"735 Tulip Grove Rd APT 321, Hermitage, TN 37076","$225,000",2,3,"1,308",Sold 04/22/2021
"4221 Woods St, Old Hickory, TN 37138","$220,000",3,2,"1,150",Sold 04/21/2021
"910 Old Fountain Pl, Hermitage, TN 37076","$185,000",2,2,"1,413",Sold 04/21/2021
"2124 Remington Park Rd, Old Hickory, TN 37138","$351,500",3,3,"2,128",Sold 04/20/2021
"103 Rifle Range Rd, Old Hickory, TN 37138","$299,900",3,2,"1,399",Sold 04/19/2021
"692 Frankfort Dr, Hermitage, TN 37076","$295,000",--,--,"1,476",Sold 04/19/2021
"4412 Old Hickory Blvd, Old Hickory, TN 37138","$235,000",2,1,754,Sold 04/19/2021
"872 Hermitage Rdg, Hermitage, TN 37076","$318,000",3,3,"1,898",Sold 04/16/2021
"206 Barley Mill Rd, Old Hickory, TN 37138","$600,000",4,3,"3,722",Sold 04/16/2021
"8321 Luree Ln, Hermitage, TN 37076","$210,000",3,1.5,"1,918",Sold 03/30/2021
"3319 Old Hickory Blvd UNIT 14, Old Hickory, TN 37138","$259,900",3,3,"1,641",Sold 03/30/2021
"632 Des Moines Dr, Hermitage, TN 37076","$130,000",3,1.5,"1,773",Sold 03/29/2021
"504 Juneau Ct, Hermitage, TN 37076","$330,000",4,2,"3,058",Sold 03/29/2021
"2806 Elliott Dr, Old Hickory, TN 37138","$269,000",3,1,"1,080",Sold 03/29/2021
"1053 Donoho Dr, Old Hickory, TN 37138","$237,000",3,2,"1,134",Sold 03/25/2021
"5204 Southfork Blvd, Old Hickory, TN 37138","$256,000",3,2.5,"2,006",Sold 03/25/2021
"604 Dutchmans Dr, Hermitage, TN 37076","$295,000",3,2,"1,250",Sold 03/23/2021
"8320 Luree Ln, Hermitage, TN 37076","$230,000",2,1,"1,000",Sold 03/23/2021
"8407 Gullett Dr, Hermitage, TN 37076","$262,000",3,1,"1,350",Sold 03/05/2021
"613 Denver Dr, Hermitage, TN 37076","$305,000",3,2,"1,650",Sold 03/05/2021
"112 Commerce St, Old Hickory, TN 37138","$200,000",2,1,736,Sold 03/04/2021
"685 Belgium Dr, Hermitage, TN 37076","$309,000",3,2,"1,875",Sold 03/04/2021
"4479 S Trace Blvd, Old Hickory, TN 37138","$270,000",3,3,"1,543",Sold 03/04/2021
"179 Brooke Castle Dr, Hermitage, TN 37076","$135,000",2,2,"1,073",Sold 03/04/2021
"1041 Donoho Dr, Old Hickory, TN 37138","$200,000",3,2,"1,284",Sold 03/03/2021
"132 Saddle Tree Ct UNIT 132, Hermitage, TN 37076","$207,500",3,2,"1,581",Sold 03/02/2021
"4106 Hermitage St, Old Hickory, TN 37138","$329,900",3,2.5,"1,748",Sold 03/01/2021
"8401 Terry Ln, Hermitage, TN 37076","$290,000",3,2,"1,730",Sold 02/10/2021
"4812 Shasta Dr, Old Hickory, TN 37138","$270,000",4,2,"2,300",Sold 02/10/2021
"102 General Jackson Ln #102, Hermitage, TN 37076","$150,000",2,2,956,Sold 02/10/2021
"3231 Lakeshore Dr, Old Hickory, TN 37138","$215,000",3,2,"2,042",Sold 02/10/2021
"4841 Big Horn Dr, Old Hickory, TN 37138","$276,000",3,2,"1,762",Sold 02/09/2021
"4777 Andrew Jackson Pkwy SUITE 102, Hermitage, TN 37076","$420,000",--,--,"2,560",Sold 02/09/2021
"5034 Bonnameade Dr, Hermitage, TN 37076","$213,000",3,2.5,"1,184",Sold 02/08/2021
"618 Debbie Dr, Hermitage, TN 37076","$234,375",3,2,"1,172",Sold 02/08/2021
"101 Mill Springs Ct, Old Hickory, TN 37138","$303,000",3,3,"1,967",Sold 02/08/2021
"735 Tulip Grove Rd APT 220, Hermitage, TN 37076","$215,000",3,3,"1,360",Sold 01/13/2021
"317 Capital St, Old Hickory, TN 37138","$319,950",3,3,"1,672",Sold 01/12/2021
"117 Fields Dr, Old Hickory, TN 37138","$365,000",4,2,"1,916",Sold 01/11/2021
"417 Rolling Mill Rd, Old Hickory, TN 37138","$625,000",4,4,"3,467",Sold 01/11/2021
"4439 Andrew Jackson Pkwy, Hermitage, TN 37076","$279,900",3,2,"1,988",Sold 01/07/2021
"1608 Pakenhams Retreat, Hermitage, TN 37076","$348,000",3,3,"2,290",Sold 01/07/2021
"1912 Brookmeadow Ct, Hermitage, TN 37076","$275,000",3,2,"1,374",Sold 01/07/2021
"626 Albany Dr, Hermitage, TN 37076","$310,000",3,2,"1,558",Sold 01/06/2021
"3809 Plantation Dr, Hermitage, TN 37076","$200,000",5,2,"1,738",Sold 01/06/2021
