SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-17-2019,Single Family Residential,1140 Frewin St,Nolensville,TN,37135,398000,4,2.0,Burkitt Springs,2049,6969,2017,,194,80,Sold,,,https://www.redfin.com/TN/Nolensville/1140-Frewin-St-37135/home/112194990,REALTRACS,2037357,N,Y,35.9891571,-86.665436
PAST SALE,April-16-2021,Townhouse,2120 Lebanon Pike #104,Nashville,TN,37210,230000,3,2.5,Easthaven,1452,871,2003,,158,125,Sold,,,https://www.redfin.com/TN/Nashville/2120-Lebanon-Pike-37210/unit-104/home/60656378,REALTRACS,2234937,N,Y,36.1635806,-86.7026493
PAST SALE,August-14-2020,Single Family Residential,4929 Scotts Creek Pkwy,Hermitage,TN,37076,270000,3,3.0,Cedar Creek,1705,7840,1991,,158,,Sold,,,https://www.redfin.com/TN/Hermitage/4929-Scotts-Creek-Pkwy-37076/home/108113501,REALTRACS,2163926,N,Y,36.2030684,-86.5937095
PAST SALE,August-5-2019,Single Family Residential,2415 Cloverdale Rd,Nashville,TN,37214,382000,5,2.5,Merry Oaks,3043,54885,1966,,126,,Sold,,,https://www.redfin.com/TN/Nashville/2415-Cloverdale-Rd-37214/home/105289328,REALTRACS,2055496,N,Y,36.1579061,-86.6823151
PAST SALE,November-4-2019,Single Family Residential,2320 Green Trails Ct,Antioch,TN,37013,225000,3,2.0,Greenwoods,1342,5227,2002,,168,25,Sold,,,https://www.redfin.com/TN/Antioch/2320-Green-Trails-Ct-37013/home/108015223,REALTRACS,2079989,N,Y,36.0415156,-86.7012911
PAST SALE,July-31-2019,Single Family Residential,1561 Bending River Dr,Nashville,TN,37221,321000,3,2.0,Riverwalk,2115,6969,2009,,152,67,Sold,,,https://www.redfin.com/TN/Nashville/1561-Bending-River-Dr-37221/home/60806804,REALTRACS,2045832,N,Y,36.0908931,-87.0122018
PAST SALE,February-13-2020,Single Family Residential,1644 Harpeth Run Dr,Nashville,TN,37221,290000,2,2.0,Parkview At Riverwalk,1426,4791,2006,,203,70,Sold,,,https://www.redfin.com/TN/Nashville/1644-Harpeth-Run-Dr-37221/home/79074069,REALTRACS,2111884,N,Y,36.0916382,-87.0099234
PAST SALE,December-12-2019,Single Family Residential,175A Rural Ave,Nashville,TN,37209,412500,3,3.0,175A-175B Rural Avenue Tow,1920,1306,2017,,215,,Sold,,,https://www.redfin.com/TN/Nashville/175-Rural-Ave-37209/unit-A/home/144498646,REALTRACS,2071873,N,Y,36.1439615,-86.8565584
PAST SALE,June-21-2019,Condo/Co-op,2600 Hillsboro Pike Apt 326 #326,Nashville,TN,37212,274000,1,1.0,The Enclave At Hillsboro V,1115,,2006,,246,325,Sold,,,https://www.redfin.com/TN/Nashville/2600-Hillsboro-Pike-37212/unit-326/home/102986240,REALTRACS,2038420,N,Y,36.124674,-86.805364
PAST SALE,April-14-2020,Single Family Residential,5111 Briarwood Dr,Nashville,TN,37211,299000,3,1.5,Caldwell Country Estates,1525,19166,1966,,196,,Sold,,,https://www.redfin.com/TN/Nashville/5111-Briarwood-Dr-37211/home/87823772,REALTRACS,2117928,N,Y,36.0678709,-86.738671
PAST SALE,June-14-2019,Single Family Residential,5028 Stillwood Dr,Nashville,TN,37220,405000,3,1.0,Crieve Hall Estates,1470,24829,1955,,276,,Sold,,,https://www.redfin.com/TN/Nashville/5028-Stillwood-Dr-37220/home/60848279,REALTRACS,2037833,N,Y,36.0690009,-86.7632217
PAST SALE,August-20-2019,Single Family Residential,214 Scotland Pl,Nashville,TN,37205,1350000,4,3.5,Belle Meade,3600,19166,1940,,375,,Sold,,,https://www.redfin.com/TN/Nashville/214-Scotland-Pl-37205/home/60763207,REALTRACS,2049084,N,Y,36.1053135,-86.8607522
PAST SALE,December-11-2019,Single Family Residential,633 River Rouge Dr,Nashville,TN,37209,522280,3,2.0,Charlotte Park,2159,20908,1964,,242,,Sold,,,https://www.redfin.com/TN/Nashville/633-River-Rouge-Dr-37209/home/106428209,REALTRACS,2091322,N,Y,36.1531093,-86.8871607
PAST SALE,June-17-2019,Single Family Residential,1105 Clayton Ave,Nashville,TN,37204,680000,3,2.0,L G Noel,2186,7840,1941,,311,,Sold,,,https://www.redfin.com/TN/Nashville/1105-Clayton-Ave-37204/home/108113846,REALTRACS,2036013,N,Y,36.1177374,-86.7899973
PAST SALE,September-6-2019,Single Family Residential,1217 Wexford Downs Ln,Nashville,TN,37211,390000,4,3.0,Wexford Downs,3096,10018,2001,,126,43,Sold,,,https://www.redfin.com/TN/Nashville/1217-Wexford-Downs-Ln-37211/home/108014096,REALTRACS,2050076,N,Y,36.0199536,-86.7403605
PAST SALE,December-11-2019,Townhouse,1625 Marshall Hollow Dr,Nashville,TN,37203,455000,3,2.5,Southgate Station,1631,,2018,,279,160,Sold,,,https://www.redfin.com/TN/Nashville/1625-Marshall-Hollow-Dr-37203/home/147184117,REALTRACS,2095884,N,Y,36.1367662,-86.7674033
PAST SALE,September-26-2019,Townhouse,217 Fairmont Ct,Nashville,TN,37203,329500,3,2.5,Fairmont Court,1691,,1985,,195,137,Sold,,,https://www.redfin.com/TN/Nashville/217-Fairmont-Ct-37203/unit-B9/home/60665075,REALTRACS,2041933,N,Y,36.141331,-86.82098
PAST SALE,August-29-2019,Single Family Residential,311 Chamberlin St,Nashville,TN,37209,359000,3,2.0,Plummer Place,1248,7405,1958,,288,,Sold,,,https://www.redfin.com/TN/Nashville/311-Chamberlin-St-37209/home/60866702,REALTRACS,2065493,N,Y,36.1473349,-86.8300547
PAST SALE,July-29-2019,Single Family Residential,1740 Stone Hollow Ct,Hermitage,TN,37076,253000,3,2.5,Truxton Park,1392,6534,2001,,182,20,Sold,,,https://www.redfin.com/TN/Hermitage/1740-Stone-Hollow-Ct-37076/home/68848267,REALTRACS,2052271,N,Y,36.2186686,-86.5927637
PAST SALE,July-2-2020,Single Family Residential,421 Peak Top Trl,LA VERGNE,TN,37086,322450,3,2.5,Brookside Sec 2,2040,,2019,,158,15,Sold,,,https://www.redfin.com/TN/La-Vergne/421-Peak-Top-Trl-37086/home/148179134,REALTRACS,2105229,N,Y,35.9860952,-86.6065063
PAST SALE,February-25-2021,Condo/Co-op,2600 Hillsboro Pike #111,Nashville,TN,37212,334500,1,1.0,The Enclave At Hillsboro V,1196,1306,2006,,280,310,Sold,,,https://www.redfin.com/TN/Nashville/2600-Hillsboro-Pike-37212/unit-111/home/108019111,REALTRACS,2215390,N,Y,36.124674,-86.805364
PAST SALE,May-20-2021,Townhouse,1013 Patio Dr,Nashville,TN,37214,195000,2,1.5,Patio Villa,1048,9147,1987,,186,,Sold,,,https://www.redfin.com/TN/Nashville/1013-Patio-Dr-37214/home/108063954,REALTRACS,2245192,N,Y,36.1456267,-86.640934
PAST SALE,August-9-2019,Single Family Residential,3464 Harborwood Cir,Nashville,TN,37214,315000,4,2.5,Harborview,2442,8276,1993,,129,60,Sold,,,https://www.redfin.com/TN/Nashville/3464-Harborwood-Cir-37214/home/108113853,REALTRACS,2059712,N,Y,36.1325939,-86.6358902
